created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Mar 27 23:59:33 +0000 2023;1640503857083035652;"②鬼滅の刃 胡蝶しのぶ 強化ガラスiPhoneケース/12・12Pro共用グッズの予約情報はこちらをご確認ください。他にもたくさんの商品を紹介しております。 https://t.co/1z0P4xrGEt";0;0;0;0;ja;1215901475550855169;1640503857083035652;kimetsu_yaiba_g;https://twitter.com/kimetsu_yaiba_g/status/1640503857083035652
Mon Mar 27 23:59:31 +0000 2023;1640503849680084992;"Literally the iPhone of the time";0;0;0;0;en;516031280;1640503849680084992;lunar_jav;https://twitter.com/lunar_jav/status/1640503849680084992
Mon Mar 27 23:59:30 +0000 2023;1640503847503417345;"私は社会人なのですが 今朝怒涛の1時間寝坊をかましてしまい、iPhoneの時計見た時マジでこの顔になった  どうしようもねえ遅刻を確信した時の顔  ちなみにもう寝坊した分巻き巻きで仕事かましたので取り返してる✌️ https://t.co/nbj0Yqzs3n";0;0;0;1;ja;2425824042;1640503847503417345;viii_slghtr;https://twitter.com/viii_slghtr/status/1640503847503417345
Mon Mar 27 23:59:28 +0000 2023;1640503835478089729;"@AikhueleHope @DanielRegha Your guy manage buy you iPhone and you feel like you're untop the world Pele Madam IOS see as she dey shout like say she Don finish sabi operate the iPhone";0;0;0;0;en;1414009689172492293;1640416974546300929;muhad_zayn;https://twitter.com/muhad_zayn/status/1640503835478089729
Mon Mar 27 23:59:25 +0000 2023;1640503823612641281;"会社から支給される携帯がiPhoneになるみたいで嬉しい。今までのオンボロAndroidから卒業できる。";0;0;0;2;ja;105734780;1640503823612641281;nyankosensei_0;https://twitter.com/nyankosensei_0/status/1640503823612641281
Mon Mar 27 23:59:22 +0000 2023;1640503810694033408;"@joecoolbangas heard this twice now both times on iphone speaker and i’m willing to say it’s top 100 song s of all time";0;0;0;3;en;1107129528118329345;1640500658125119488;aidanfleming23;https://twitter.com/aidanfleming23/status/1640503810694033408
Mon Mar 27 23:59:16 +0000 2023;1640503785830088704;"iphone viciado te odeio";0;0;0;0;pt;1310233441053691907;1640503785830088704;isnickerx;https://twitter.com/isnickerx/status/1640503785830088704
Mon Mar 27 23:59:12 +0000 2023;1640503771230011393;"@negi314159 ねぎちゃん、おっはよ😊  わたしも今のiPhoneのバッテリーヤバいんだよねぇ💦 一度交換したけどもうダメだよ😵 わたしも機種変したいなぁ🥰  今日は朝から雨で寒いね💦 ねぎちゃんも体調に気をつけてね💕  今日も１日頑張っていこうね♡";0;1;0;1;ja;1541427229812731905;1640457916514988042;yuki_onemore;https://twitter.com/yuki_onemore/status/1640503771230011393
Mon Mar 27 23:59:08 +0000 2023;1640503754486317058;"モイ！iPhoneからキャス配信中 -のんびり https://t.co/HePXLGYtyL";0;0;0;0;ja;1588178622367825922;1640503754486317058;kmnty0;https://twitter.com/kmnty0/status/1640503754486317058
Mon Mar 27 23:59:08 +0000 2023;1640503751319470080;"¿El parcero que está regalando plata xq odia el capitalismo no tendrá ganas de tirarme un Iphone 14??";0;1;4;78;es;973072746;1640503751319470080;oximoro_n;https://twitter.com/oximoro_n/status/1640503751319470080
Mon Mar 27 23:59:07 +0000 2023;1640503749562236930;"@Bobsekpo @Naija_PR Mama there’s nothing wrong with her using iPhone and can’t renovate her house, how much is iPhone wey she wan use the money renovate house.? You no even know maybe someone bought her the iPhone.";0;2;0;2;en;1522571224412532738;1640449062494248961;Phizzle_Mane;https://twitter.com/Phizzle_Mane/status/1640503749562236930
Mon Mar 27 23:59:06 +0000 2023;1640503743002169345;"Yeahhhhh time for a new phone, this iPhone S is cracked and bugging out on me 😭💀";0;0;0;0;en;204138491;1640503743002169345;_NagelsBagels_;https://twitter.com/_NagelsBagels_/status/1640503743002169345
Mon Mar 27 23:59:00 +0000 2023;1640503717542674432;"malditos cargadores de iphone , no duran ni 1 día , mala calidad como todo!!!!";0;0;0;0;es;1483973460615442435;1640503717542674432;Caroaguayofl8;https://twitter.com/Caroaguayofl8/status/1640503717542674432
Mon Mar 27 23:58:57 +0000 2023;1640503708160241664;"スマートフォン本体 人気  ■ Apple iPhone 13 (512GB) - ブルーSIMフリー 5G対応 0516 https://t.co/wBPHgZzaeP";0;0;0;0;ja;1361769986176389122;1640503708160241664;hcsfiFEoRkMwS3D;https://twitter.com/hcsfiFEoRkMwS3D/status/1640503708160241664
Mon Mar 27 23:58:56 +0000 2023;1640503700820217856;"YA ALLAH GUE BUTUH BGT FITUR SPLIT SCREEN DI IPHONE SEKARANG🙂";0;0;0;0;in;1590499442980814849;1640503700820217856;traviseanne;https://twitter.com/traviseanne/status/1640503700820217856
Mon Mar 27 23:58:54 +0000 2023;1640503695090794498;"ガシュログ.com様で紹介いただきました！ 【これはかわいい！】クマのブルーノくんと黒猫のロンダ君がリンゴにアクセントを。＆YからiPhone6ケース5種がリリース https://t.co/dblD0FPsJH … shoroukipilotさんから";0;0;0;0;ja;3446284634;1640503695090794498;bruno_anndy;https://twitter.com/bruno_anndy/status/1640503695090794498
Mon Mar 27 23:58:51 +0000 2023;1640503681148919809;"かわいいクマのブルーノ君。美味しそうなリンゴ見つけました。でもとっても大きなリンゴなので運ぶのが大変。抱きかかえて頑張ります。そんな情景が表現されたiPhoneケース。オススメです。 https://t.co/lwIZbkUukl … https://t.co/w7aBg0GOlW";0;0;0;0;ja;3502553592;1640503681148919809;iphone_anndy;https://twitter.com/iphone_anndy/status/1640503681148919809
Mon Mar 27 23:58:50 +0000 2023;1640503678045163520;"トル：ルーズベルトに「本当ですか？嬉しいです！」って打つはずが「本当ですか？ウィンガーディアムレビオーサ」って予測に出てきてそのまま送信。「すみません間違えました！」って訂正メール送ったのに、返信は「僕もエクスペクトパトローナムです」こればかりはiPhoneを呪った";0;0;0;0;ja;3516495194;1640503678045163520;tatakaeyoooooo;https://twitter.com/tatakaeyoooooo/status/1640503678045163520
Mon Mar 27 23:58:45 +0000 2023;1640503658717806593;"@tanyakanrl iphone";0;0;0;0;en;1571454671839178755;1640264924575457281;tasyaawkar;https://twitter.com/tasyaawkar/status/1640503658717806593
Mon Mar 27 23:58:42 +0000 2023;1640503642473267201;"iPhoneアプデしたらリオちゃんのメンカラハートの絵文字が追加されてるのか！アプデしないと😚 https://t.co/8j3hNAqF2B";0;0;0;3;ja;1271060109959950336;1640503642473267201;NiziU_miihi_myk;https://twitter.com/NiziU_miihi_myk/status/1640503642473267201
Mon Mar 27 23:58:39 +0000 2023;1640503631257677826;"かわいい黒猫のロンダ君。リンゴがまったく諦められません。今度は横から挑戦です。うまく引っ掻くことはできましたが、食べれるのでしょうか。そんな情景が表現されたiPhoneケース。  https://t.co/S581ohKvj7 … https://t.co/rPJYbJVOuU";0;0;0;0;ja;3445195045;1640503631257677826;ronda_anndy;https://twitter.com/ronda_anndy/status/1640503631257677826
Mon Mar 27 23:58:39 +0000 2023;1640503629797900289;"só qro meu iphone😭😭😭";0;0;0;0;pt;1585286703757107205;1640503629797900289;dzvmoreira;https://twitter.com/dzvmoreira/status/1640503629797900289
Mon Mar 27 23:58:36 +0000 2023;1640503619488305155;"cuando vos tengas iphone háblame dice manu jajaja q basura";0;0;0;1;es;1461032418064932867;1640503619488305155;kathiduartez18;https://twitter.com/kathiduartez18/status/1640503619488305155
Mon Mar 27 23:58:34 +0000 2023;1640503608650379264;"@theval2Iegit Iphone";0;0;0;0;en;1469179226125262849;1640103149179666433;JamesMatt014;https://twitter.com/JamesMatt014/status/1640503608650379264
Mon Mar 27 23:58:33 +0000 2023;1640503605806485507;"@garyblack00 @farzyness Did Nokia at its peak sell more of any of their models than any iPhone sold today? I doubt that.";0;0;0;0;en;1011691380547248134;1640385454951235584;MBjoremo;https://twitter.com/MBjoremo/status/1640503605806485507
Mon Mar 27 23:58:31 +0000 2023;1640503597568778240;"@snoopervise @MariaTammy @atrupar I see it now on my browser version! Are you on browser? iPhone app still looks normal.";0;1;0;2;en;996216517711810560;1640492162440634369;ArbiterofCool;https://twitter.com/ArbiterofCool/status/1640503597568778240
Mon Mar 27 23:58:30 +0000 2023;1640503592242249728;"ってかiPhoneのバッテリー さすがに死にすぎでは？　 家出る前は100%やったど？？ https://t.co/sRguB5vT6J";0;0;0;0;ja;812199851400183809;1640503592242249728;Mike_cos_0806;https://twitter.com/Mike_cos_0806/status/1640503592242249728
Mon Mar 27 23:58:29 +0000 2023;1640503591348719616;"Me parece a mi o el iPhone tiene nuevos emojis con la actualización de iOS 16.4?";0;2;0;4;es;1114672374920765442;1640503591348719616;jugodelim0n;https://twitter.com/jugodelim0n/status/1640503591348719616
Mon Mar 27 23:58:28 +0000 2023;1640503584134426629;"Chargeur de Bureau 65w ou 100w pour Téléphone et Ordinateur Portable, Station d'Alimentation GaN3 Pro, Charge Rapide pour iPhone 14, 13, 12 Pro, Max, Xiaomi, Samsung  -&gt  58.90 € -&gt  Livraison Gratuite  ➡️ https://t.co/aBh0zvJitp #BaseusStore https://t.co/87Vd10C9m7";0;0;0;0;fr;1001863594215202816;1640503584134426629;BaseusStore;https://twitter.com/BaseusStore/status/1640503584134426629
Mon Mar 27 23:58:25 +0000 2023;1640503573837381632;"歐盟維修權法案再升級！3C 及電子產品均須提供 10 年硬體維修服務 https://t.co/kGR2z0Pj3P";0;0;0;0;zh;20973110;1640503573837381632;Dr_iPhone;https://twitter.com/Dr_iPhone/status/1640503573837381632
Mon Mar 27 23:58:23 +0000 2023;1640503565621030912;"AppleでiPhone買ったらもろもろの設定自分でやらなきゃですよね、できるもんなんですか？！";0;2;0;1;ja;1323801061774094336;1640503565621030912;mayumo86;https://twitter.com/mayumo86/status/1640503565621030912
Mon Mar 27 23:58:22 +0000 2023;1640503560327790592;"@stephenasmith For those of you who don’t know what “speed dial” is, it’s the equivalent of “Favorites” on your iPhone 😂";0;0;0;0;en;2468760913;1640376201557491712;KeNoEmTmE;https://twitter.com/KeNoEmTmE/status/1640503560327790592
Mon Mar 27 23:58:20 +0000 2023;1640503553621123075;"Hi Mingyu, I’m texting this from my iPhone 13 256GB pro plus which I dropped between the leather seats of my self-driving Ferrari Monza SP1 with a 6.5-liter V12 engine capable of 809 horsepower and 530 pound-feet. I'll text you back once I arrive at my mansion with six floors.";0;1;0;0;en;1571058217148616704;1640503553621123075;lesseratonin_;https://twitter.com/lesseratonin_/status/1640503553621123075
Mon Mar 27 23:58:19 +0000 2023;1640503546641539072;"@tiagosantineli Precisa ter o da menina do Iphone";0;0;0;0;pt;40185963;1640483238408867840;jneresneto;https://twitter.com/jneresneto/status/1640503546641539072
Mon Mar 27 23:58:17 +0000 2023;1640503541247754242;"@lumirandax Ser un iPhone";0;0;0;3;it;1506159622146646021;1640498400264159234;b_esturao;https://twitter.com/b_esturao/status/1640503541247754242
Mon Mar 27 23:58:15 +0000 2023;1640503532884316160;"@nandaS2_1 No c nem com iPhone melhora tem q nascer dnv 5 vezes";0;0;0;0;pt;1630045326680768512;1640500422556123136;yasminlkkj;https://twitter.com/yasminlkkj/status/1640503532884316160
Mon Mar 27 23:58:15 +0000 2023;1640503531772981248;"とりあえず、腕は上がるから骨折では無いし、ヒビ骨折の時のような痛みでも無く、筋肉的な痛みだけなので打ち身かな。iPhoneのガラスフィルムが割れたのが痛い(&gt _&lt )";0;11;0;12;ja;84309007;1640503531772981248;x68trap;https://twitter.com/x68trap/status/1640503531772981248
Mon Mar 27 23:58:14 +0000 2023;1640503526659858432;"@AikhueleHope @DanielRegha Na Android fit am because that guy thumb fit spoil any iPhone screen wey e touch";0;0;0;1;en;1537437817214672896;1640416974546300929;itz_trenches;https://twitter.com/itz_trenches/status/1640503526659858432
Mon Mar 27 23:58:04 +0000 2023;1640503485769846785;"@LAClippers @Lexus Please tell me thats an iPhone Max looking like a ipod in Kawhi's hand. https://t.co/zPX218GuXW";0;0;1;23;en;563349198;1640501017921069058;AKAMojoJojo;https://twitter.com/AKAMojoJojo/status/1640503485769846785
Mon Mar 27 23:57:58 +0000 2023;1640503460201209857;"@ifrnb Bro me está cambiando de color el iPhone desde q se instaló alguein sabe algo al respecto tengo un 13 pro max";0;0;0;0;es;1431019013392510987;1640409457782841344;michel92873280;https://twitter.com/michel92873280/status/1640503460201209857
Mon Mar 27 23:57:57 +0000 2023;1640503455109500929;"スマートフォン本体 人気  ■ Apple iPhone 13 (512GB) - ブルーSIMフリー 5G対応 7163 https://t.co/wBPHgZzaeP";0;0;0;0;ja;1361769986176389122;1640503455109500929;hcsfiFEoRkMwS3D;https://twitter.com/hcsfiFEoRkMwS3D/status/1640503455109500929
Mon Mar 27 23:57:56 +0000 2023;1640503451464650753;"推しのメンカラが水色・ピンク・シルバー（銀）のオタクへ iPhone持ってるならアップデートしてください…各カラーのハートが絵文字に追加されました。  ※シルバーはグレーハートにはなりますが…";0;0;0;2;ja;1244458015794683905;1640503451464650753;MI04783108;https://twitter.com/MI04783108/status/1640503451464650753
Mon Mar 27 23:57:55 +0000 2023;1640503446477606913;"#ひとくちではじけちゃう  Androidでは降らないのかな… 息子のiPhoneは降ってきたけど";0;2;0;16;ja;860523227344285697;1640503446477606913;coralrabbit;https://twitter.com/coralrabbit/status/1640503446477606913
Mon Mar 27 23:57:48 +0000 2023;1640503418597851137;"@yosoangel @denzelthreal @choquei Nao gatinha, chutou foi longe kk  Pobre, mas ja fui muito pobre kk Me sustento, sustento minha casa e meus estudos. Comprei muitos moveis mês passado, então meu capital esta baixo no momento kk mas eu consigo denovo. E nao que eu me orgulhe, mas tenho um iphone 11 kk";0;2;0;0;pt;1134987896035975169;1640478030731542531;Darks_zs;https://twitter.com/Darks_zs/status/1640503418597851137
Mon Mar 27 23:57:43 +0000 2023;1640503396687020033;"話題の商品⭐  🍋 Apple iPhone 11 Pro 256GB ゴールド SIMフリー (整備済み品) 7108 https://t.co/wLrixZTtKy";0;0;0;0;ja;1331977797691011072;1640503396687020033;4w71Rt30nMkiLs7;https://twitter.com/4w71Rt30nMkiLs7/status/1640503396687020033
Mon Mar 27 23:57:43 +0000 2023;1640503395894145026;"@autoestimaposts iphone e a tomada";0;0;0;1;it;1121451699103830018;1640362665120768001;markleetetas;https://twitter.com/markleetetas/status/1640503395894145026
Mon Mar 27 23:57:42 +0000 2023;1640503390919618560;"@LasterEsq pinging my iphone when it's under my bed covers";0;0;0;1;en;1608223691980115970;1640450763703853084;thecreatorboard;https://twitter.com/thecreatorboard/status/1640503390919618560
Mon Mar 27 23:57:37 +0000 2023;1640503369751207936;"モイ！iPhoneからキャス配信中 - https://t.co/dkGLdasvyr";0;0;0;0;ja;1046378902292115456;1640503369751207936;nissan4419;https://twitter.com/nissan4419/status/1640503369751207936
Mon Mar 27 23:57:36 +0000 2023;1640503367146545152;"@br_miyajima モンタくんかわいい！！";0;0;0;0;ja;607997797;1640307677904654337;iphone_kahi;https://twitter.com/iphone_kahi/status/1640503367146545152
Mon Mar 27 23:57:28 +0000 2023;1640503334976012288;"@SkepticAndLiar Ur an influencer 💖 plus I don't have an iphone so 🤷🏿‍♀️";0;0;0;1;en;1616352728;1640502657532952579;butt_um_liam;https://twitter.com/butt_um_liam/status/1640503334976012288
Mon Mar 27 23:57:27 +0000 2023;1640503330068635649;"@TwaTchMee Oh I couldn’t imagine my parents having an iPhone. Blocked!!!";0;1;0;0;en;40748152;1640502708267352064;YourCupofShanTi;https://twitter.com/YourCupofShanTi/status/1640503330068635649
Mon Mar 27 23:57:23 +0000 2023;1640503314017300482;"@boku___naodayo このiPhoneがブラックアウトしたのは昨日が初めてなのでねぎしなおのせいです";0;0;0;0;ja;1549068319160139776;1640185422910476288;ma_shappp;https://twitter.com/ma_shappp/status/1640503314017300482
Mon Mar 27 23:57:22 +0000 2023;1640503307318837249;"@elonmusk I need that new iphone screaming emoji";0;0;0;0;en;932144858718003200;1640502698549075972;ItsYasmeenAlhaj;https://twitter.com/ItsYasmeenAlhaj/status/1640503307318837249
Mon Mar 27 23:57:18 +0000 2023;1640503289715494912;"モイ！iPhoneからキャス配信中 - 飲み雑談 #頑張るマン #双極性障害II #出会い厨 https://t.co/VWZBN44i0x";0;0;0;0;ja;1292058034307387392;1640503289715494912;ceeeeeeeeeeeco;https://twitter.com/ceeeeeeeeeeeco/status/1640503289715494912
Mon Mar 27 23:57:16 +0000 2023;1640503283562192896;"Só queria um iPhone mrm,N aguento ms android";0;0;0;1;pt;1448332070510637066;1640503283562192896;mt_lemos22;https://twitter.com/mt_lemos22/status/1640503283562192896
Mon Mar 27 23:57:16 +0000 2023;1640503281553137665;"I definitely had a iPhone 4 😂";0;0;0;0;en;3228488887;1640503281553137665;D_Ran44;https://twitter.com/D_Ran44/status/1640503281553137665
Mon Mar 27 23:57:11 +0000 2023;1640503263391784960;"@DavidMiracleo @DanielRegha If iPhone is virus resistant, why does it always receive security updates 🤔.";0;2;0;8;en;1573448875943264256;1640416974546300929;Okik_day;https://twitter.com/Okik_day/status/1640503263391784960
Mon Mar 27 23:57:09 +0000 2023;1640503254848098304;"eh mto gostosinho usar iphone sem a capa mas qualquer sopro essa merda trinca a tela ent morro de medo";0;0;0;0;pt;1427109968675811328;1640503254848098304;rkivebey;https://twitter.com/rkivebey/status/1640503254848098304
Mon Mar 27 23:57:06 +0000 2023;1640503239895556096;"『東京は都会』ってよく聞くけど、この前東京行ったらベビーカー乗ってる赤ちゃんがiPhoneいじりながら俺のガラケーみて「YEAH～！」みたいな顔で俺のことバカにしてきたから東京ヤバイって思った";0;0;0;0;ja;1272197180;1640503239895556096;botmamubot;https://twitter.com/botmamubot/status/1640503239895556096
Mon Mar 27 23:57:06 +0000 2023;1640503239673266176;"AndroidからiPhoneに変えた📱 自分にとってグーグルは在日外国人。 アップルは訪日外国人。 グーグルの方が親近感ある。";0;0;0;0;ja;1606167328563269632;1640503239673266176;zuYHpy6kbt;https://twitter.com/zuYHpy6kbt/status/1640503239673266176
Mon Mar 27 23:57:04 +0000 2023;1640503231741665281;"@Malcolm_fleX48 Can you guarantee me the government will be there to protect me when a cracked out thug is trying to kill me over my iPhone?  Can you guarantee me the government will never overstep it’s constitutional authority?";0;0;0;0;en;1587061012561281027;1640395838038982668;Sanchez4Buck;https://twitter.com/Sanchez4Buck/status/1640503231741665281
Mon Mar 27 23:57:03 +0000 2023;1640503228554174464;"Android版の人のみっていうのがムカつくな、iPhone勢も苦しめ(違う)";0;0;0;2;ja;706394538479218697;1640503228554174464;chocolate_MINNT;https://twitter.com/chocolate_MINNT/status/1640503228554174464
Mon Mar 27 23:57:01 +0000 2023;1640503222136864769;"iPhone 操作間違ったら1年前の画像が流れ始めた さらに1年前も流して・・・ 僕の思い出も満更じゃない 　 今を生きていける  #あさもる";0;0;0;1;ja;3166107979;1640503222136864769;PersonalFunnel;https://twitter.com/PersonalFunnel/status/1640503222136864769
Mon Mar 27 23:56:57 +0000 2023;1640503205414207490;"iPhone高価買取ライオンチーズ☆https://t.co/w7n81SZHhC";0;0;0;0;ja;3248467998;1640503205414207490;Lionchee_iPhone;https://twitter.com/Lionchee_iPhone/status/1640503205414207490
Mon Mar 27 23:56:50 +0000 2023;1640503176435572737;"I guess the usual debate in consumer technology 😬 iPhone or Android? Aside from iPhone 3G, been an Android user and use a PC for perso &amp  work. iPhone 14 vs Samsung Galaxy S22 - ur pick? #iPhone #android #GalaxyS22 #cellphone #mobile";0;1;0;0;en;56797614;1640503176435572737;Laheo;https://twitter.com/Laheo/status/1640503176435572737
Mon Mar 27 23:56:50 +0000 2023;1640503174120329219;"iPhoneのMAP経路不具合解消して居た。 理由はなんだったんだろう。";0;0;0;0;ja;119786360;1640503174120329219;agrimony_3848;https://twitter.com/agrimony_3848/status/1640503174120329219
Mon Mar 27 23:56:48 +0000 2023;1640503164444225536;"記事にないが一番の原因は通信障害。特に2011年に4日間のダウンは致命的だった。 最早、機能性とか以前で捨てられただけ  》iPhoneにあっさり首位を奪われた…世界中のビジネスマンに愛された｢キーボード付き元祖スマホ｣の転落劇 かつて｢ブラックベリー｣はスマホの同義語 https://t.co/k5yWrfAbjD";1;1;9;10;ja;627083094;1640503164444225536;DaTa_jp;https://twitter.com/DaTa_jp/status/1640503164444225536
Mon Mar 27 23:56:45 +0000 2023;1640503155032031232;"@paradigm_pro @9to5mac Imagine dropping 27% of your global iPhone revenue just to not put a USB-C port in an iPhone";0;0;0;0;en;2360983780;1640340802592202752;Heyduda137;https://twitter.com/Heyduda137/status/1640503155032031232
Mon Mar 27 23:56:44 +0000 2023;1640503148640108546;"人気商品です❣  ⭐️JEDirect iPhone SE 2020/2022 (第2/3世代) iPhone8 iPho... #ad  https://t.co/St4fwFNiyA";0;0;0;0;ja;1179226035625156608;1640503148640108546;SaleInfo5;https://twitter.com/SaleInfo5/status/1640503148640108546
Mon Mar 27 23:56:39 +0000 2023;1640503127144275968;"新しいiPhoneのアップデートで水色のハートが追加されたけどころんくんのツイートする時どっち使おうかな~💙 青も可愛くてお気に入りꔛ💙";0;0;0;0;ja;1567185181295116290;1640503127144275968;riria_56n;https://twitter.com/riria_56n/status/1640503127144275968
Mon Mar 27 23:56:37 +0000 2023;1640503118738620418;"@yasminlkk uau, nosso iphone fazendo milagres";0;3;0;0;pt;1380537921405599744;1640500422556123136;nandaS2_1;https://twitter.com/nandaS2_1/status/1640503118738620418
Mon Mar 27 23:56:37 +0000 2023;1640503118248177664;"韓国人旅行者の日本タバコ感想。  日本では、  道に煙草の吸い殻をポイ捨てする人を何度も見た。  日本の道は、煙草の吸い殻が多い。   三日で禁煙は iphoneはAppstore→ﾗﾝｷﾝｸﾞ→ｶﾃｺﾞﾘ→ﾌﾞｯｸ→有料で。  ｱﾝﾄﾞﾛｲﾄﾞはGoogle Play⇒「三日で禁煙」で検索。";0;0;0;0;ja;2781682429;1640503118248177664;jryxfqku;https://twitter.com/jryxfqku/status/1640503118248177664
Mon Mar 27 23:56:36 +0000 2023;1640503115131625472;"@fridahmareawiny N9w you are the iPhone user";0;0;0;0;en;1185673805429166081;1640358971117535232;PiusAhumuza1;https://twitter.com/PiusAhumuza1/status/1640503115131625472
Mon Mar 27 23:56:33 +0000 2023;1640503104587046913;"@prentisswifts @pagetpaget tbh if she has anything bigger than like — an iPhone 4 now, i bet this would be a really hard hack to keep doing 😭😭";0;0;0;0;en;1178049065285816321;1640500421864161281;pagetgremlin;https://twitter.com/pagetgremlin/status/1640503104587046913
Mon Mar 27 23:56:31 +0000 2023;1640503095418589184;"動いている物体を消去するカメラアプリ「動体消去カム」。歩いている人や走っている車など、移動している物体を消し背景を抽出することができます。抽出された画像は写真ライブラリに保存できます。無料です。App Storeで検索！#iPhone #アプリ";0;0;0;0;ja;123995754;1640503095418589184;Import_EV;https://twitter.com/Import_EV/status/1640503095418589184
Mon Mar 27 23:56:28 +0000 2023;1640503081543540736;"@julianepcx Deve tá dando só em iPhone";0;0;0;0;pt;831194503956615169;1640459635546095617;dan_gdg;https://twitter.com/dan_gdg/status/1640503081543540736
Mon Mar 27 23:56:27 +0000 2023;1640503079916257282;"@EBajjali @Piqixh @zeekyhighlife @PremiumTimesng @PeterObi Come back when you’re bold enough to display your ugly face to the world. On my TL is boldly written ‘Twitter for iPhone’. Whoooh! ✌️";0;1;0;0;en;1452709735514378253;1640311650111684609;izuchukwu98;https://twitter.com/izuchukwu98/status/1640503079916257282
Mon Mar 27 23:56:26 +0000 2023;1640503075289939970;"And just like that Kate got a new iPhone wallpaper";0;1;1;11;en;459345574;1640503075289939970;BrittBritt_84;https://twitter.com/BrittBritt_84/status/1640503075289939970
